date,AMD,AZN,CNY,EUR,GBP,JPY,RUB,TRY,USD
2023-09-12,0.0067997,1.5454,0.35946,2.8157,3.2837,0.017868,0.02724,0.0976,2.6234
2023-09-13,0.0068066,1.5457,0.3598599999999999,2.8109,3.2706,0.017853,0.02769,0.0975,2.6238
2023-09-14,0.0068182,1.5486,0.3609799999999999,2.8211,3.2745,0.017828,0.027462,0.0975,2.6282
2023-09-15,0.0068379,1.5534,0.36222,2.8305,3.2887,0.017898,0.02743,0.0978,2.6362
2023-09-16,0.0068185,1.5479,0.36182,2.8076,3.2695,0.017802,0.0273209999999999,0.0976,2.6333
2023-09-19,0.0068311,1.5533,0.36132,2.8131,3.2707,0.017857,0.02732,0.0976,2.636
2023-09-20,0.0068446,1.5526,0.36229,2.8271,3.274,0.017891,0.027467,0.0977,2.6412
2023-09-21,0.0069152,1.5724,0.36662,2.8631,3.3071,0.0180929999999999,0.027655,0.0989,2.675
2023-09-22,0.0069469,1.58,0.36791,2.8637,3.3067,0.018181,0.027982,0.0995,2.6879
2023-09-23,0.0069382,1.5801,0.36717,2.8521,3.2842,0.0180929999999999,0.0278189999999999,0.0988,2.6816
2023-09-26,0.0068387,1.5684,0.3649799999999999,2.8381,3.2647,0.01795,0.027748,0.0981,2.6681
2023-09-27,0.0069137,1.5714,0.36572,2.8325,3.2581,0.017955,0.027759,0.0981,2.6732
2023-09-28,0.0068603,1.5741,0.36621,2.8259,3.2522,0.017948,0.027703,0.0981,2.6778
2023-09-29,0.0068633,1.5772,0.3674,2.827,3.2719,0.017969,0.0276359999999999,0.0979,2.6832
2023-09-30,0.0067446,1.5744,0.36699,2.8422,3.2852,0.0179679999999999,0.027425,0.0977,2.6783
2023-10-03,0.0066323,1.576,0.36737,2.8259,3.2602,0.01791,0.027215,0.0976,2.6811
2023-10-04,0.0065132,1.5755,0.3672499999999999,2.8097,3.2339,0.017882,0.027007,0.0975,2.6802
2023-10-05,0.0065499999999999,1.5757,0.3673099999999999,2.8154,3.25,0.017974,0.026954,0.0972,2.6806
2023-10-06,0.0065793,1.5744,0.36699,2.817,3.2504,0.017994,0.026794,0.0972,2.6783
2023-10-07,0.006577,1.5732,0.36611,2.8215,3.2629,0.017929,0.026621,0.0967,2.6719
2023-10-10,0.0067336,1.568,0.36587,2.8078,3.2463,0.017886,0.026324,0.0963,2.6675
2023-10-11,0.0068063,1.5749,0.36709,2.8393,3.2867,0.017996,0.026757,0.0966,2.6793
2023-10-12,0.0068098,1.5845,0.36919,2.8586,3.3126,0.018132,0.026974,0.0972,2.696
2023-10-13,0.0067114,1.5857,0.36961,2.8653,3.3172,0.018092,0.0278169999999999,0.0972,2.698
2023-10-14,0.0067183,1.5859,0.36927,2.8393,3.2872,0.018037,0.027741,0.0971,2.6984
2023-10-17,0.0067502,1.5855,0.36893,2.8418,3.2791,0.018039,0.027707,0.0968,2.6977
2023-10-18,0.0066952999999999,1.5824,0.36822,2.8403,3.2725,0.018,0.027659,0.0964,2.6925
2023-10-19,0.0067036,1.5824,0.36802,2.8422,3.2789,0.017987,0.0276469999999999,0.0961,2.6925
2023-10-20,0.0067291,1.5845,0.36851,2.8445,3.2662,0.017997,0.027692,0.0963,2.696
2023-10-21,0.0067319,1.5876,0.36849,2.854,3.2689,0.017979,0.028126,0.0962,2.6958
2023-10-24,0.0067352,1.5884,0.3686,2.8595,3.2789,0.017984,0.028464,0.0962,2.6971
2023-10-25,0.006738,1.5906,0.36919,2.8703,3.3001,0.018029,0.028827,0.0961,2.6997
2023-10-26,0.0067611,1.5939,0.36971,2.8607,3.2792,0.018043,0.028986,0.0962,2.7052
2023-10-27,0.0067485,1.5942,0.36968,2.8519,3.2686,0.0180129999999999,0.028878,0.0962,2.7058
2023-10-28,0.0067398999999999,1.5929,0.36943,2.8565,3.2793,0.01802,0.029099,0.0959,2.7037
2023-10-31,0.0067502,1.5925,0.36968,2.8603,3.279,0.0180719999999999,0.028996,0.0958,2.7048
2023-11-01,0.0067706,1.5943,0.37018,2.8877,3.3012,0.0179679999999999,0.0294059999999999,0.0957,2.7079
2023-11-02,0.0067824999999999,1.5984,0.37094,2.865,3.2964,0.017958,0.029271,0.0958,2.7149
2023-11-03,0.00675,1.5958,0.37102,2.8865,3.3098,0.018059,0.029085,0.0958,2.7152
2023-11-04,0.006757,1.5975,0.37092,2.8883,3.3168,0.018064,0.029175,0.0955,2.7138
2023-11-07,0.0067252,1.5904,0.37234,2.9104,3.3607,0.018084,0.029285,0.0952,2.7061
2023-11-08,0.006729,1.5868,0.37068,2.8847,3.3207,0.017956,0.0291909999999999,0.0948,2.7
2023-11-09,0.0067367,1.5911,0.37115,2.8825,3.3119,0.017925,0.029341,0.0948,2.7025
2023-11-10,0.006746,1.5933,0.3712499999999999,2.8914,3.3237,0.017901,0.029366,0.0949,2.7048
2023-11-11,0.0067313,1.5898,0.37021,2.8819,3.2964,0.01782,0.029315,0.0945,2.6989
2023-11-14,0.0067215,1.5872,0.36993,2.8836,3.3027,0.017773,0.029279,0.0943,2.697
2023-11-15,0.0067242,1.5871,0.37018,2.8932,3.316,0.017787,0.029581,0.0942,2.6981
2023-11-16,0.0067226,1.5873,0.37282,2.9314,3.3649,0.017949,0.030369,0.0942,2.7008
2023-11-17,0.0067305,1.5875,0.37263,2.9299,3.3494,0.017859,0.030378,0.0942,2.7011
2023-11-18,0.0067252,1.586,0.37446,2.9327,3.3545,0.018073,0.030296,0.094,2.6985
2023-11-21,0.0067271,1.5847,0.37646,2.9482,3.3653,0.018181,0.030497,0.0938,2.6981
2023-11-22,0.0067506,1.5904,0.37883,2.9603,3.3929,0.018326,0.0307229999999999,0.0939,2.7037
2023-11-23,0.006767,1.594,0.37922,2.9558,3.3965,0.0181899999999999,0.030721,0.0941,2.7122
2023-11-25,0.0067629,1.5958,0.37924,2.9594,3.4081,0.018139,0.030518,0.0939,2.7128
2023-11-28,0.0067592,1.5935,0.37896,2.9697,3.4203,0.018187,0.030525,0.0938,2.7113
2023-11-29,0.0067587,1.5944,0.37924,2.9705,3.4274,0.018245,0.030574,0.0938,2.7128
2023-11-30,0.0067526999999999,1.5958,0.38044,2.9769,3.4408,0.018363,0.030503,0.0938,2.7129
2023-12-01,0.006744,1.5933,0.37945,2.9583,3.4261,0.018365,0.030567,0.0938,2.7086
2023-12-02,0.0067291,1.5898,0.37849,2.9421,3.4164,0.018258,0.030009,0.0935,2.7026
2023-12-05,0.0066691,1.5835,0.37745,2.9279,3.4126,0.018386,0.0296419999999999,0.0932,2.6943
2023-12-06,0.0066799999999999,1.5831,0.37717,2.9178,3.4032,0.018321,0.02933,0.0931,2.6937
2023-12-07,0.0066628999999999,1.58,0.37528,2.8987,3.3846,0.018231,0.028982,0.0928,2.686
2023-12-08,0.0066687,1.5745,0.37461,2.885,3.3702,0.018498,0.028884,0.0926,2.679
2023-12-09,0.0066304999999999,1.5689,0.37276,2.8793,3.359,0.018498,0.029157,0.0921,2.6695
2023-12-12,0.0066543999999999,1.5683,0.37166,2.8752,3.3531,0.018253,0.0293319999999999,0.092,2.6684
2023-12-13,0.0066263,1.5712,0.37262,2.8886,3.3626,0.0184,0.0296729999999999,0.0921,2.6734
2023-12-14,0.0066323999999999,1.5718,0.37248,2.8815,3.3458,0.018346,0.029726,0.092,2.6745
2023-12-15,0.0066409,1.5785,0.37641,2.93,3.399,0.018966,0.029844,0.0925,2.6859
2023-12-16,0.006609,1.576,0.3772,2.9406,3.429,0.018926,0.029895,0.0923,2.6816
2023-12-19,0.0066055,1.5752,0.3757,2.9252,3.395,0.018782,0.029563,0.0922,2.6802
2023-12-20,0.0066253,1.5764,0.37555,2.9338,3.4064,0.018506,0.029761,0.0922,2.6822
2023-12-21,0.0066265,1.5783,0.3761899999999999,2.9413,3.3992,0.018723,0.0296729999999999,0.0922,2.6854
2023-12-22,0.0066498,1.5799,0.376,2.943,3.3952,0.018793,0.029188,0.0922,2.6882
2023-12-23,0.0066344,1.5797,0.37707,2.9614,3.4183,0.018915,0.0292899999999999,0.092,2.6878
2023-12-26,0.0066529,1.5836,0.3770099999999999,2.9636,3.4156,0.0189009999999999,0.029143,0.0919,2.6905
2023-12-27,0.0066628999999999,1.5828,0.3765699999999999,2.9645,3.4162,0.018899,0.029146,0.0917,2.6908
2023-12-28,0.0066658,1.5835,0.3766,2.9763,3.4253,0.018881,0.029275,0.0916,2.692
2023-12-29,0.0066576,1.5827,0.3791799999999999,2.996,3.446,0.019136,0.029759,0.0914,2.693
2023-12-30,0.0066528,1.5806,0.3781899999999999,2.9753,3.4228,0.018982,0.029916,0.091,2.6894
2024-01-04,0.0066483,1.582,0.37624,2.939,3.3947,0.018852,0.029307,0.0903,2.6889
2024-01-05,0.006654,1.5808,0.37587,2.9448,3.4156,0.01865,0.029445,0.0903,2.6869
2024-01-06,0.0066517,1.5812,0.37547,2.931,3.4011,0.018494,0.029522,0.09,2.6865
2024-01-09,0.0066573,1.582,0.37543,2.9408,3.4155,0.018612,0.029558,0.0899,2.6879
2024-01-10,0.0066612,1.5797,0.37531,2.9405,3.4218,0.018664,0.029921,0.0898,2.6878
2024-01-11,0.0066524,1.5797,0.37499,2.9427,3.4198,0.0185509999999999,0.030105,0.0897,2.6879
2024-01-12,0.0066373,1.578,0.3745699999999999,2.9415,3.4182,0.01844,0.030181,0.0894,2.6826
2024-01-13,0.0066156,1.573,0.37312,2.9308,3.4103,0.018424,0.030339,0.0889,2.6741
2024-01-16,0.0065727,1.5657,0.37043,2.9067,3.381,0.018241,0.030336,0.0883,2.6582
2024-01-17,0.0065693,1.5617,0.3694,2.8917,3.3559,0.01811,0.030264,0.0883,2.6573
2024-01-18,0.0065667,1.563,0.36967,2.8911,3.3704,0.018004,0.030076,0.0883,2.6595
2024-01-19,0.0065693,1.5619,0.3695,2.8941,3.3704,0.0179679999999999,0.029924,0.0882,2.6576
2024-01-23,0.0065327,1.5643,0.36955,2.8946,3.378,0.01796,0.030239,0.0879,2.6588
2024-01-24,0.0065852,1.5669,0.37149,2.8971,3.3877,0.018007,0.0302409999999999,0.088,2.6633
2024-01-25,0.006611,1.571,0.37269,2.9089,3.4046,0.018091,0.0301969999999999,0.0882,2.6692
2024-01-26,0.0066457,1.5751,0.37337,2.9168,3.4104,0.018144,0.030141,0.0884,2.6769
2024-01-27,0.0066377,1.5721,0.3729,2.9056,3.405,0.018113,0.029857,0.0882,2.675
2024-01-30,0.0066497,1.5758,0.37279,2.8963,3.4002,0.018119,0.0298459999999999,0.0882,2.6773
2024-01-31,0.0066567999999999,1.578,0.37368,2.908,3.4019,0.018221,0.030055,0.0884,2.6827
2024-02-01,0.0066505,1.5774,0.37359,2.9044,3.3984,0.018144,0.029913,0.0883,2.6818
2024-02-02,0.0066387999999999,1.5747,0.37271,2.8902,3.3833,0.018236,0.02965,0.0882,2.6771
2024-02-03,0.0066181999999999,1.5698,0.37184,2.9042,3.4051,0.018191,0.029498,0.0876,2.6688
2024-02-06,0.0066083,1.5674,0.37021,2.8649,3.3558,0.0179509999999999,0.029199,0.0872,2.6648
2024-02-07,0.0065978,1.5659,0.37022,2.8565,3.3381,0.017901,0.029287,0.0871,2.6622
2024-02-08,0.0065863,1.5647,0.3696,2.8629,3.3583,0.017957,0.029174,0.0869,2.6592
2024-02-09,0.0065904,1.563,0.3692499999999999,2.8632,3.3535,0.0178259999999999,0.029096,0.0868,2.6573
2024-02-10,0.0065797999999999,1.5613,0.36882,2.8584,3.3455,0.0177699999999999,0.029213,0.0865,2.6543
2024-02-13,0.006533,1.5601,0.36872,2.8582,3.3473,0.017792,0.029129,0.0864,2.6524
2024-02-14,0.0065799,1.5597,0.36862,2.8569,3.3589,0.017738,0.029036,0.0863,2.6517
2024-02-15,0.0065593,1.5577,0.36815,2.8339,3.3212,0.01758,0.028964,0.0861,2.6483
2024-02-16,0.0065556,1.556,0.36773,2.8395,3.3199,0.017634,0.0287,0.086,2.6453
2024-02-17,0.0065582,1.5545,0.36744,2.8467,3.3273,0.017589,0.028474,0.0858,2.6432
2024-02-20,0.0065508,1.5555,0.36745,2.8504,3.3365,0.017636,0.0286039999999999,0.0857,2.6449
2024-02-21,0.0065594,1.5565,0.36788,2.86,3.3378,0.0176279999999999,0.028614,0.0857,2.6467
2024-02-22,0.0065678,1.5585,0.3686,2.8618,3.3436,0.017666,0.028612,0.0856,2.6501
2024-02-23,0.0065704,1.5588,0.3686,2.8774,3.3608,0.017651,0.028419,0.0854,2.6505
2024-02-24,0.006579,1.5602,0.36857,2.8708,3.36,0.0176,0.0279619999999999,0.0853,2.653
2024-02-27,0.0065697,1.5599,0.36854,2.8769,3.3631,0.017613,0.02873,0.0852,2.6525
2024-02-28,0.0065788,1.5621,0.369,2.882,3.3686,0.017681,0.028893,0.0853,2.6562
2024-02-29,0.0065896999999999,1.5647,0.36956,2.878,3.3646,0.017656,0.029008,0.0853,2.6606
2024-03-01,0.006588,1.5643,0.36964,2.8839,3.3677,0.0177289999999999,0.029277,0.0852,2.6599
2024-03-02,0.0065882,1.5641,0.3694199999999999,2.8745,3.3596,0.017686,0.029106,0.0849,2.6596
2024-03-05,0.0065895,1.5637,0.36934,2.8863,3.3708,0.017676,0.0291109999999999,0.0844,2.659
2024-03-06,0.0065879,1.5635,0.36929,2.8851,3.373,0.017676,0.029184,0.0841,2.6586
2024-03-07,0.0065923,1.564,0.36923,2.8904,3.3803,0.0177459999999999,0.029453,0.0838,2.6581
2024-03-08,0.0065883,1.5629,0.3692,2.8949,3.3884,0.017964,0.029277,0.0834,2.6576
2024-03-12,0.0065531,1.5627,0.36983,2.9068,3.4125,0.018116,0.0293259999999999,0.083,2.6573
2024-03-13,0.0065909,1.5618,0.37024,2.9052,3.3999,0.018025,0.029162,0.0829,2.657
2024-03-14,0.0065929,1.5635,0.3696,2.9061,3.4003,0.017974,0.029036,0.0828,2.6586
2024-03-15,0.0066387,1.5736,0.37218,2.9271,3.4282,0.018105,0.029226,0.0833,2.6758
2024-03-16,0.0066992,1.5871,0.37519,2.9402,3.4432,0.018148,0.029411,0.0838,2.6999
2024-03-19,0.0067282,1.5924,0.37646,2.9529,3.4498,0.018163,0.0294019999999999,0.0839,2.7098
2024-03-20,0.0067525,1.5954,0.37681,2.942,3.4409,0.018022,0.029312,0.0839,2.7128
2024-03-21,0.0067554,1.5939,0.37656,2.9383,3.4419,0.0178709999999999,0.029233,0.0837,2.7106
2024-03-22,0.0067905,1.5917,0.3759,2.9544,3.4556,0.0179119999999999,0.029538,0.0835,2.706
2024-03-23,0.0067788,1.5884,0.37348,2.9214,3.3974,0.017814,0.0289199999999999,0.0844,2.7
2024-03-26,0.006806,1.5892,0.37437,2.9215,3.4083,0.0178499999999999,0.0291239999999999,0.084,2.7003
2024-03-27,0.0068449999999999,1.5917,0.37481,2.9374,3.4249,0.017883,0.029195,0.084,2.7055
2024-03-28,0.0068425,1.5928,0.37482,2.9337,3.4215,0.017919,0.029233,0.084,2.7084
2024-03-29,0.0068429,1.5866,0.37319,2.9112,3.4035,0.01782,0.0291769999999999,0.0834,2.6978
2024-03-30,0.0068365,1.5844,0.37331,2.9063,3.4007,0.0178119999999999,0.0291109999999999,0.0833,2.6953
2024-04-02,0.0068397,1.5811,0.37199,2.8998,3.392,0.017768,0.029094,0.0829,2.6897
2024-04-03,0.0068569,1.5784,0.37057,2.8798,3.3684,0.017678,0.029013,0.0833,2.6814
2024-04-04,0.0068655,1.5787,0.37093,2.8912,3.3751,0.017689,0.0290969999999999,0.0839,2.684
2024-04-05,0.0069026,1.579,0.37098,2.9139,3.398,0.0176869999999999,0.029098,0.0842,2.6834
2024-04-06,0.0068939,1.5744,0.37029,2.9018,3.3834,0.017694,0.028983,0.0837,2.6784
2024-04-09,0.0068917,1.574,0.37023,2.9005,3.3825,0.017633,0.02895,0.0835,2.6777
2024-04-11,0.0068624,1.5722,0.36955,2.9038,3.3943,0.017605,0.0286669999999999,0.0829,2.6729
2024-04-12,0.006825,1.5713,0.36922,2.8663,3.3491,0.017452,0.028538,0.0828,2.672
2024-04-13,0.0067874999999999,1.5716,0.36904,2.8453,3.3333,0.017419,0.028573,0.0826,2.6709
2024-04-16,0.006785,1.5702,0.36884,2.845,3.3347,0.017344,0.02853,0.0824,2.6699
2024-04-17,0.0068002,1.5708,0.36899,2.8387,3.3243,0.017279,0.0284229999999999,0.0822,2.671
2024-04-18,0.0067815,1.5733,0.3696,2.8473,3.3337,0.0173019999999999,0.0283479999999999,0.0822,2.6753
2024-04-19,0.0067924,1.5719,0.3692499999999999,2.8532,3.3349,0.017308,0.028408,0.0822,2.6728
2024-04-20,0.0067967,1.5709,0.36889,2.8453,3.3223,0.0172879999999999,0.028623,0.0819,2.6711
2024-04-23,0.0068413,1.5719,0.369,2.8469,3.2968,0.01727,0.028628,0.0821,2.6729
2024-04-24,0.0068723,1.5762,0.36985,2.8555,3.3092,0.017313,0.02867,0.0822,2.6802
2024-04-25,0.0069,1.5826,0.37138,2.8756,3.346,0.01737,0.029082,0.0827,2.691
2024-04-26,0.0069171,1.5796,0.37061,2.8804,3.3603,0.017265,0.0291449999999999,0.0827,2.6859
2024-04-27,0.006844,1.5737,0.36927,2.8713,3.3479,0.017071,0.029096,0.0822,2.676
2024-04-30,0.0069073,1.5771,0.37055,2.8762,3.3635,0.01722,0.0287849999999999,0.0829,2.6835
2024-05-01,0.0069109,1.579,0.37092,2.8804,3.3677,0.01711,0.0287469999999999,0.0829,2.6849
2024-05-02,0.0068987999999999,1.5754,0.36994,2.8583,3.3442,0.016966,0.028498,0.0825,2.6788
2024-05-03,0.0069047,1.5759,0.37007,2.8684,3.3534,0.0172669999999999,0.0291719999999999,0.0828,2.6797
2024-05-04,0.006902,1.5759,0.37007,2.8777,3.3636,0.017506,0.0292519999999999,0.0828,2.6797
2024-05-08,0.0069028,1.5761,0.3713,2.8848,3.3605,0.017341,0.029378,0.0831,2.68
2024-05-09,0.0068930999999999,1.5759,0.37086,2.8812,3.3472,0.017248,0.029138,0.0831,2.6797
2024-05-11,0.0068978,1.5735,0.37032,2.8837,3.3527,0.017177,0.028914,0.0829,2.6755
2024-05-14,0.0069058999999999,1.5763,0.37044,2.8892,3.3593,0.017195,0.029266,0.0832,2.6804
2024-05-15,0.006924,1.58,0.3713499999999999,2.9005,3.373,0.017177,0.029399,0.0833,2.6866
2024-05-16,0.0070407,1.606,0.37828,2.9577,3.446,0.017535,0.029934,0.0847,2.7323
2024-05-17,0.0071124,1.6229,0.3823999999999999,3.0002,3.4972,0.017838,0.030377,0.0857,2.7596
2024-05-18,0.0071113999999999,1.6223,0.38169,2.991,3.4914,0.017695,0.030337,0.0855,2.7585
2024-05-21,0.0070991,1.6194,0.38073,2.994,3.4982,0.017683,0.030261,0.0856,2.7536
2024-05-22,0.0070426,1.604,0.37692,2.9639,3.4687,0.017458,0.030112,0.0847,2.7274
2024-05-23,0.00703,1.6031,0.37652,2.9546,3.4684,0.017423,0.030207,0.0847,2.7259
2024-05-24,0.007038,1.6028,0.3766,2.9578,3.4704,0.017401,0.0301719999999999,0.0846,2.7268
2024-05-25,0.0070323,1.6015,0.3761299999999999,2.954,3.466,0.017357,0.030347,0.0845,2.7246
2024-05-28,0.0071487999999999,1.627,0.3821299999999999,3.0058,3.5298,0.017645,0.0312409999999999,0.086,2.768
2024-05-29,0.0071909999999999,1.6389,0.38434,3.0295,3.5577,0.017754,0.031491,0.0865,2.7847
2024-05-30,0.0071979,1.6384,0.3845,3.0227,3.5531,0.017724,0.031098,0.0865,2.7874
2024-05-31,0.0071805,1.6463,0.38651,3.0259,3.5572,0.017819,0.031101,0.0866,2.7968
2024-06-01,0.0072063,1.6428,0.38597,3.0319,3.5548,0.017772,0.030972,0.0868,2.7949
2024-06-04,0.0071966,1.6407,0.38521,3.0236,3.5484,0.0178,0.031275,0.0867,2.7914
2024-06-05,0.0072011,1.644,0.3859,3.0359,3.5619,0.018057,0.031482,0.0859,2.7939
2024-06-06,0.0072124,1.6457,0.38615,3.0416,3.5744,0.017929,0.031513,0.0861,2.7984
2024-06-07,0.007269,1.6597,0.3896,3.0703,3.6082,0.018086,0.031737,0.0876,2.8222
2024-06-08,0.0072805,1.6612,0.39,3.0767,3.6142,0.018165,0.031787,0.0875,2.8247
2024-06-11,0.0073446999999999,1.6755,0.39308,3.0584,3.616,0.018163,0.032,0.0877,2.849
2024-06-12,0.0073858,1.6847,0.39488,3.0763,3.6504,0.018233,0.032128,0.0885,2.8646
2024-06-13,0.0073876,1.6857,0.39516,3.0834,3.6564,0.018217,0.032088,0.0885,2.8664
2024-06-14,0.0073932,1.6874,0.39563,3.0991,3.6664,0.018253,0.032665,0.0888,2.8693
2024-06-15,0.0073929,1.688,0.39536,3.0682,3.6471,0.018275,0.032115,0.0878,2.8688
2024-06-18,0.0073562,1.6887,0.39539,3.0723,3.6337,0.0182,0.032352,0.0873,2.8689
2024-06-19,0.0073776,1.6836,0.39449,3.068,3.6311,0.0181,0.032852,0.0877,2.8625
2024-06-20,0.0072245999999999,1.6518,0.38681,3.0151,3.5746,0.017784,0.033627,0.0862,2.8071
2024-06-21,0.0072102,1.6467,0.38567,3.0045,3.5578,0.017675,0.032467,0.0857,2.8001
2024-06-22,0.0072485,1.6459,0.38563,2.9916,3.5382,0.017613,0.031815,0.0853,2.8001
2024-06-25,0.0071874,1.6476,0.38618,3.0069,3.5504,0.017574,0.031999,0.0852,2.8031
2024-06-26,0.007271,1.6668,0.39046,3.041,3.5985,0.017793,0.03227,0.0859,2.8357
2024-06-27,0.0072766,1.6612,0.38837,3.0151,3.5733,0.017623,0.032387,0.0857,2.8221
2024-06-28,0.0073025,1.6678,0.38973,3.031,3.5842,0.017656,0.0330839999999999,0.0861,2.8327
2024-06-29,0.0072453,1.6517,0.38693,3.0082,3.5539,0.017502,0.033032,0.0854,2.8101
2024-07-02,0.0072206,1.6467,0.38547,3.0114,3.5496,0.017388,0.0321,0.0857,2.8016
2024-07-03,0.0072055999999999,1.643,0.38421,2.9937,3.5321,0.017283,0.031717,0.0854,2.7937
2024-07-04,0.0072199,1.6456,0.38491,3.0124,3.5572,0.01729,0.0317309999999999,0.0859,2.7996
2024-07-05,0.0071712,1.6384,0.3832,3.0089,3.5549,0.017294,0.031541,0.0855,2.786
